Crédito,Status da conta corrente existente,Duração em meses,Histórico de crédito,Finalidade,Valor do crédito,Conta de poupança/títulos,Tempo de emprego atual,Taxa de prestação em porcentagem da renda disponível,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Propriedade,Idade em anos,Outros planos de parcelamento,Habitação,Número de créditos existentes neste banco,Ocupação,Número de pessoas a quem deve prestar sustento,Telefone,Trabalhador estrangeiro
Bom,estavel,12,Em dia,Móveis/equipamentos,2251,Minimo,good-to-4,1,Mulher - divorciada/separada/casada,none,2,Carro/outro,46,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,30,Em dia,Carro novo,2150,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,Fiador,2,Desconhecido/nenhum,24,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Atraso passado,Móveis/equipamentos,4151,Baixo,good-to-4,2,Homem - solteiro,none,3,Acordo de poupança/seguro de vida,35,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,9,Em dia,Móveis/equipamentos,2030,none,4-to-7,2,Homem - solteiro,none,1,Carro/outro,24,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,60,Atraso passado,Rádio/televisão,7418,none,good-to-4,1,Homem - solteiro,none,1,Imóvel,27,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Crítico,Rádio/televisão,2684,Minimo,good-to-4,4,Homem - solteiro,none,2,Imóvel,35,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,12,Pagamento pelo banco,Rádio/televisão,2149,Minimo,good-to-4,4,Homem - divorciado/separado,none,1,Desconhecido/nenhum,29,none,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Em dia,Carro usado,3812,Baixo,Menos de 1,1,Mulher - divorciada/separada/casada,none,4,Carro/outro,23,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,11,Crítico,Rádio/televisão,1154,Baixo,Desempregado,4,Mulher - divorciada/separada/casada,none,4,Imóvel,57,none,Dono,3,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Em dia,Móveis/equipamentos,1657,Minimo,good-to-4,2,Homem - solteiro,none,2,Imóvel,27,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,Rádio/televisão,1603,Minimo,7-+,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,55,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,18,Crítico,Carro novo,5302,Minimo,7-+,2,Homem - solteiro,none,4,Desconhecido/nenhum,36,none,for-free,3,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Crítico,Educação,2748,Minimo,7-+,2,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,57,bank,for-free,3,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,10,Crítico,Carro novo,1231,Minimo,7-+,3,Homem - solteiro,none,4,Imóvel,32,none,Dono,2,Residente não qualificado,2,Sem Telefone,Trabalhador Local
Ruim,Baixo,15,Em dia,Rádio/televisão,802,Minimo,7-+,4,Homem - solteiro,none,3,Carro/outro,37,none,Dono,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,36,Crítico,Negócios,6304,none,7-+,4,Homem - solteiro,none,4,Imóvel,36,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,1533,Minimo,Menos de 1,4,Mulher - divorciada/separada/casada,none,3,Carro/outro,38,stores,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,14,Em dia,Carro novo,8978,Minimo,7-+,1,Homem - divorciado/separado,none,4,Acordo de poupança/seguro de vida,45,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Local
Bom,none,24,Em dia,Rádio/televisão,999,none,7-+,4,Homem - solteiro,none,2,Carro/outro,25,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Em dia,Carro novo,2662,none,4-to-7,4,Homem - solteiro,none,3,Acordo de poupança/seguro de vida,32,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Local
Bom,none,12,Crítico,Móveis/equipamentos,1402,Medio,4-to-7,3,Mulher - divorciada/separada/casada,none,4,Carro/outro,37,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,48,Pagamento pelo banco,Carro novo,12169,none,Desempregado,4,Homem - solteiro,Co-requerente,4,Desconhecido/nenhum,36,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,48,Em dia,Rádio/televisão,3060,Minimo,4-to-7,4,Homem - solteiro,none,4,Imóvel,28,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,30,Em dia,Reparos,11998,Minimo,Menos de 1,1,Homem - divorciado/separado,none,1,Desconhecido/nenhum,34,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,9,Em dia,Rádio/televisão,2697,Minimo,good-to-4,1,Homem - solteiro,none,2,Imóvel,32,none,Dono,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Crítico,Rádio/televisão,2404,Minimo,good-to-4,2,Mulher - divorciada/separada/casada,none,2,Carro/outro,26,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Em dia,Móveis/equipamentos,1262,none,7-+,2,Homem - divorciado/separado,none,4,Acordo de poupança/seguro de vida,49,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,none,6,Em dia,Móveis/equipamentos,4611,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,32,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,24,Em dia,Rádio/televisão,1901,Baixo,good-to-4,4,Homem - solteiro,none,4,Carro/outro,29,none,Aluguel,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,15,Crítico,Carro usado,3368,Alto,7-+,3,Homem - solteiro,none,4,Desconhecido/nenhum,23,none,Aluguel,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Móveis/equipamentos,1574,Minimo,good-to-4,4,Homem - solteiro,none,2,Imóvel,50,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,18,Pagamento pelo banco,Rádio/televisão,1445,none,4-to-7,4,Homem - solteiro,none,4,Carro/outro,49,bank,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Crítico,Móveis/equipamentos,1520,none,7-+,4,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,63,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,24,Crítico,Carro novo,3878,Baixo,Menos de 1,4,Homem - divorciado/separado,none,2,Carro/outro,37,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,47,Em dia,Carro novo,10722,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,1,Imóvel,35,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,48,Em dia,Carro usado,4788,Minimo,4-to-7,4,Homem - solteiro,none,3,Acordo de poupança/seguro de vida,26,none,Dono,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,48,Atraso passado,outro,7582,Baixo,Desempregado,2,Homem - solteiro,none,4,Desconhecido/nenhum,31,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,12,Em dia,Rádio/televisão,1092,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,Fiador,4,Imóvel,49,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,24,Atraso passado,Rádio/televisão,1024,Minimo,Menos de 1,4,Homem - casado/viúvo,none,4,Imóvel,48,stores,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Em dia,Negócios,1076,Minimo,good-to-4,2,Homem - casado/viúvo,none,2,Imóvel,26,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Local
Ruim,Baixo,36,Em dia,Carro usado,9398,Minimo,Menos de 1,1,Homem - casado/viúvo,none,4,Carro/outro,28,none,Aluguel,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,24,Crítico,Carro usado,6419,Minimo,7-+,2,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,44,none,for-free,2,Alta qualificação,2,telefone registrado,Trabalhador Estrangeiro
Bom,estavel,42,Crítico,Carro usado,4796,Minimo,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,56,none,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,48,Crítico,Negócios,7629,none,7-+,4,Homem - divorciado/separado,none,2,Carro/outro,46,bank,Dono,2,Alta qualificação,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,48,Em dia,Móveis/equipamentos,9960,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,2,Carro/outro,26,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Carro usado,4675,none,Menos de 1,1,Mulher - divorciada/separada/casada,none,4,Carro/outro,20,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,10,Em dia,Carro novo,1287,none,7-+,4,Homem - solteiro,Co-requerente,2,Acordo de poupança/seguro de vida,45,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Local
Bom,none,18,Em dia,Móveis/equipamentos,2515,Minimo,good-to-4,3,Homem - solteiro,none,4,Imóvel,43,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,21,Crítico,Móveis/equipamentos,2745,Alto,4-to-7,3,Homem - solteiro,none,2,Carro/outro,32,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,6,Em dia,Carro novo,672,Minimo,Desempregado,1,Mulher - divorciada/separada/casada,none,4,Imóvel,54,none,Dono,1,Não qualificado/não residente,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,36,Totalmente pago,Rádio/televisão,3804,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,1,Carro/outro,42,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,estavel,24,Crítico,Carro novo,1344,none,4-to-7,4,Homem - solteiro,none,2,Imóvel,37,bank,Dono,2,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,10,Crítico,Carro novo,1038,Minimo,4-to-7,4,Homem - solteiro,Co-requerente,3,Acordo de poupança/seguro de vida,49,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,none,48,Crítico,Carro novo,10127,Medio,good-to-4,2,Homem - solteiro,none,2,Desconhecido/nenhum,44,bank,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,6,Em dia,Móveis/equipamentos,1543,Alto,good-to-4,4,Homem - divorciado/separado,none,2,Imóvel,33,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,30,Em dia,Carro usado,4811,none,4-to-7,2,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,24,stores,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,12,Em dia,Rádio/televisão,727,Baixo,Menos de 1,4,Homem - casado/viúvo,none,3,Desconhecido/nenhum,33,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,8,Em dia,Móveis/equipamentos,1237,Minimo,good-to-4,3,Mulher - divorciada/separada/casada,none,4,Imóvel,24,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,9,Em dia,Carro novo,276,Minimo,good-to-4,4,Homem - casado/viúvo,none,4,Imóvel,22,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,48,Em dia,outro,5381,none,Desempregado,3,Homem - solteiro,none,4,Desconhecido/nenhum,40,bank,for-free,1,Não qualificado/não residente,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Móveis/equipamentos,5511,Baixo,good-to-4,4,Homem - solteiro,none,1,Carro/outro,25,stores,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,24,Em dia,Móveis/equipamentos,3749,Minimo,Menos de 1,2,Mulher - divorciada/separada/casada,none,4,Carro/outro,26,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,12,Em dia,Carro novo,685,Minimo,4-to-7,2,Homem - casado/viúvo,none,3,Carro/outro,25,bank,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,4,Em dia,Carro novo,1494,none,Menos de 1,1,Homem - solteiro,none,2,Imóvel,29,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Local
Ruim,negativo,36,Pagamento pelo banco,Móveis/equipamentos,2746,Minimo,7-+,4,Homem - solteiro,none,4,Carro/outro,31,bank,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,12,Em dia,Móveis/equipamentos,708,Minimo,good-to-4,2,Homem - solteiro,Fiador,3,Acordo de poupança/seguro de vida,38,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,24,Em dia,Móveis/equipamentos,4351,none,good-to-4,1,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,48,none,Dono,1,Residente não qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Crítico,Educação,701,Minimo,good-to-4,4,Homem - solteiro,none,2,Carro/outro,32,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,15,Atraso passado,Móveis/equipamentos,3643,Minimo,7-+,1,Mulher - divorciada/separada/casada,none,4,Acordo de poupança/seguro de vida,27,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,30,Crítico,Carro novo,4249,Minimo,Desempregado,4,Homem - casado/viúvo,none,2,Carro/outro,28,none,Dono,2,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Em dia,Rádio/televisão,1938,Minimo,Menos de 1,4,Homem - divorciado/separado,none,3,Acordo de poupança/seguro de vida,32,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,Carro usado,2910,Minimo,4-to-7,2,Homem - solteiro,none,1,Desconhecido/nenhum,34,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,18,Em dia,Móveis/equipamentos,2659,Alto,good-to-4,4,Homem - solteiro,none,2,Carro/outro,28,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Crítico,Carro novo,1028,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,3,Imóvel,36,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,8,Crítico,Carro novo,3398,Minimo,4-to-7,1,Homem - solteiro,none,4,Imóvel,39,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Local
Bom,none,12,Crítico,Móveis/equipamentos,5801,none,7-+,2,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,49,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,24,Em dia,Carro novo,1525,Alto,4-to-7,4,Mulher - divorciada/separada/casada,none,3,Carro/outro,34,none,Dono,1,Funcionário qualificado,2,telefone registrado,Trabalhador Estrangeiro
Bom,estavel,36,Em dia,Rádio/televisão,4473,Minimo,7-+,4,Homem - solteiro,none,2,Carro/outro,31,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,6,Em dia,Rádio/televisão,1068,Minimo,7-+,4,Homem - solteiro,none,4,Carro/outro,28,none,Dono,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Crítico,Carro usado,6615,Minimo,Desempregado,2,Homem - solteiro,none,4,Desconhecido/nenhum,75,none,for-free,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,none,18,Crítico,Educação,1864,Baixo,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Imóvel,30,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,60,Em dia,Carro novo,7408,Baixo,Menos de 1,4,Mulher - divorciada/separada/casada,none,2,Acordo de poupança/seguro de vida,24,none,Dono,1,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,none,48,Crítico,Carro usado,11590,Baixo,good-to-4,2,Mulher - divorciada/separada/casada,none,4,Carro/outro,24,bank,Aluguel,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,24,Totalmente pago,Móveis/equipamentos,4110,Minimo,7-+,3,Homem - solteiro,none,4,Desconhecido/nenhum,23,bank,Aluguel,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,6,Crítico,Móveis/equipamentos,3384,Minimo,good-to-4,1,Homem - divorciado/separado,none,4,Imóvel,44,none,Aluguel,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,Baixo,13,Em dia,Rádio/televisão,2101,Minimo,Menos de 1,2,Mulher - divorciada/separada/casada,Fiador,4,Acordo de poupança/seguro de vida,23,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,15,Em dia,Eletrodomésticos,1275,none,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,24,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,24,Em dia,Móveis/equipamentos,4169,Minimo,good-to-4,4,Homem - solteiro,none,4,Acordo de poupança/seguro de vida,28,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,10,Em dia,Móveis/equipamentos,1521,Minimo,good-to-4,4,Homem - divorciado/separado,none,2,Carro/outro,31,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,24,Crítico,Educação,5743,Minimo,Menos de 1,2,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,24,none,for-free,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,negativo,21,Em dia,Móveis/equipamentos,3599,Minimo,4-to-7,1,Mulher - divorciada/separada/casada,none,4,Carro/outro,26,none,Aluguel,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Rádio/televisão,3213,Medio,Menos de 1,1,Homem - casado/viúvo,none,3,Imóvel,25,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Negócios,4439,Minimo,7-+,1,Homem - solteiro,Co-requerente,1,Imóvel,33,bank,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,estavel,10,Em dia,Carro novo,3949,Minimo,Menos de 1,1,Homem - solteiro,Fiador,1,Acordo de poupança/seguro de vida,37,none,Dono,1,Residente não qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,15,Crítico,Rádio/televisão,1459,Minimo,good-to-4,4,Mulher - divorciada/separada/casada,none,2,Carro/outro,43,none,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,13,Crítico,Rádio/televisão,882,Minimo,Menos de 1,4,Homem - solteiro,Fiador,4,Imóvel,23,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,24,Em dia,Rádio/televisão,3758,Medio,Desempregado,1,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,23,none,Aluguel,1,Não qualificado/não residente,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,6,Atraso passado,Negócios,1743,Baixo,good-to-4,1,Homem - solteiro,none,2,Imóvel,34,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,9,Crítico,Educação,1136,Alto,7-+,4,Homem - solteiro,none,3,Desconhecido/nenhum,32,none,for-free,2,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,none,9,Em dia,Eletrodomésticos,1236,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,4,Imóvel,23,none,Aluguel,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,9,Em dia,Móveis/equipamentos,959,Minimo,good-to-4,1,Mulher - divorciada/separada/casada,none,2,Carro/outro,29,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Local
Bom,none,18,Crítico,Carro usado,3229,none,Desempregado,2,Homem - solteiro,none,4,Desconhecido/nenhum,38,none,Dono,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,12,Totalmente pago,Rádio/televisão,6199,Minimo,good-to-4,4,Homem - solteiro,none,2,Acordo de poupança/seguro de vida,28,none,Aluguel,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,10,Em dia,Educação,727,Medio,7-+,4,Homem - solteiro,none,4,Desconhecido/nenhum,46,none,for-free,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,24,Em dia,Carro novo,1246,Minimo,Menos de 1,4,Homem - solteiro,none,2,Imóvel,23,stores,Dono,1,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Crítico,Rádio/televisão,2331,none,7-+,1,Homem - solteiro,Co-requerente,4,Imóvel,49,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Ruim,none,36,Atraso passado,Rádio/televisão,4463,Minimo,good-to-4,4,Homem - solteiro,none,2,Carro/outro,26,none,Dono,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,12,Em dia,Rádio/televisão,776,Minimo,good-to-4,4,Homem - casado/viúvo,none,2,Imóvel,28,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,30,Em dia,Móveis/equipamentos,2406,Minimo,4-to-7,4,Mulher - divorciada/separada/casada,none,4,Imóvel,23,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Educação,1239,none,good-to-4,4,Homem - solteiro,none,4,Desconhecido/nenhum,61,none,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,12,Em dia,Rádio/televisão,3399,none,7-+,2,Homem - solteiro,none,3,Carro/outro,37,none,Dono,1,Alta qualificação,1,Sem Telefone,Trabalhador Estrangeiro
Bom,estavel,12,Atraso passado,Carro novo,2247,Minimo,good-to-4,2,Mulher - divorciada/separada/casada,none,2,Carro/outro,36,stores,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,6,Em dia,Móveis/equipamentos,1766,Minimo,good-to-4,1,Homem - casado/viúvo,none,2,Acordo de poupança/seguro de vida,21,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,18,Em dia,Móveis/equipamentos,2473,Minimo,Desempregado,4,Homem - solteiro,none,1,Carro/outro,25,none,Dono,1,Não qualificado/não residente,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,12,Em dia,Negócios,1542,Minimo,4-to-7,2,Homem - solteiro,none,4,Carro/outro,36,none,Dono,1,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,18,Crítico,Carro usado,3850,Minimo,4-to-7,3,Homem - solteiro,none,1,Carro/outro,27,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,negativo,18,Em dia,Móveis/equipamentos,3650,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,4,Carro/outro,22,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,negativo,36,Em dia,Móveis/equipamentos,3446,Minimo,7-+,4,Homem - solteiro,none,2,Carro/outro,42,none,Dono,1,Funcionário qualificado,2,Sem Telefone,Trabalhador Estrangeiro
Bom,Baixo,18,Em dia,Móveis/equipamentos,3001,Minimo,4-to-7,2,Mulher - divorciada/separada/casada,none,4,Imóvel,40,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,36,Em dia,Carro novo,3079,none,good-to-4,4,Homem - solteiro,none,4,Imóvel,36,none,Dono,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Crítico,Rádio/televisão,6070,Minimo,7-+,3,Homem - solteiro,none,4,Carro/outro,33,none,Dono,2,Funcionário qualificado,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,10,Crítico,Móveis/equipamentos,2146,Minimo,Menos de 1,1,Mulher - divorciada/separada/casada,none,3,Imóvel,23,none,Aluguel,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,60,Crítico,Carro novo,13756,none,7-+,2,Homem - solteiro,none,4,Desconhecido/nenhum,63,bank,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,Baixo,60,Pagamento pelo banco,outro,14782,Baixo,7-+,3,Mulher - divorciada/separada/casada,none,4,Desconhecido/nenhum,60,bank,for-free,2,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Ruim,negativo,48,Pagamento pelo banco,Negócios,7685,Minimo,4-to-7,2,Mulher - divorciada/separada/casada,Fiador,4,Carro/outro,37,none,Aluguel,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,18,Atraso passado,Rádio/televisão,2320,Minimo,Desempregado,2,Homem - casado/viúvo,none,3,Imóvel,34,none,Dono,2,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Bom,none,7,Atraso passado,Rádio/televisão,846,none,7-+,3,Homem - solteiro,none,4,Desconhecido/nenhum,36,none,for-free,1,Funcionário qualificado,1,Sem Telefone,Trabalhador Estrangeiro
Ruim,Baixo,36,Em dia,Carro novo,14318,Minimo,7-+,4,Homem - solteiro,none,2,Desconhecido/nenhum,57,none,for-free,1,Alta qualificação,1,telefone registrado,Trabalhador Estrangeiro
Bom,none,6,Crítico,Carro novo,362,Baixo,good-to-4,4,Mulher - divorciada/separada/casada,none,4,Carro/outro,52,none,Dono,2,Residente não qualificado,1,Sem Telefone,Trabalhador Estrangeiro
